COLOR,BLOCK,LOT,"PROPERTY
ADDRESS",ADDRESS,TIER,STATUS,District
small_yellow,0474,006,1234 FRANCISCO ST,"1234 FRANCISCO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_yellow,0478,014,2950 VAN NESS AVE,"2950 VAN NESS AVE,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",2
small_red,2612,074,169 BUENA VISTA TR,"169 BUENA VISTA TR,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_red,2623,116,4096 17TH ST,"4096 17TH ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_red,2403,033,1255 TARAVAL ST,"1255 TARAVAL ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",4
small_yellow,0217,018,1642 LARKIN ST,"1642 LARKIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2442,014,3090 VICENTE ST,"3090 VICENTE ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",4
small_yellow,0217,006A,1538 CLAY ST,"1538 CLAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2631,001,251 PARNASSUS AV,"251 PARNASSUS AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",5
small_yellow,0219,024,1415 CLAY ST,"1415 CLAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2648,033,2555 MARKET ST,"2555 MARKET ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0221,030,1275 CLAY ST,"1275 CLAY ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0218,017,1520 LARKIN ST,"1520 LARKIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2623,086,37 STATES ST,"37 STATES ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0219,014,1230 HYDE ST,"1230 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2714,024,66 CORWIN ST,"66 CORWIN ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0247,015,1124 LEAVENWORTH ST,"1124 LEAVENWORTH ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2748,027,77 GRAND VIEW AV,"77 GRAND VIEW AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0248,025,1451 SACRAMENTO ST,"1451 SACRAMENTO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2650,007,2727 MARKET ST,"2727 MARKET ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0221,003B,1115 TAYLOR ST,"1115 TAYLOR ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2660,043,1310 CLAYTON ST,"1310 CLAYTON ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0247,002,1111 JONES ST,"1111 JONES ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0218,018,1532 LARKIN ST,"1532 LARKIN ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2779,002,814 CORBETT AV,"814 CORBETT AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_red,2778,033,801 CORBETT AV,"801 CORBETT AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0248,010,1320 CALIFORNIA ST,"1320 CALIFORNIA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2779,030,455 BURNETT AV,"455 BURNETT AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_red,2826,095,725 BURNETT AV,"725 BURNETT AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0248,008,1306 CALIFORNIA ST,"1306 CALIFORNIA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2847,045,975 BURNETT AV,"975 BURNETT AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0249,006,1127 HYDE ST,"1127 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2799,048,545 BURNETT AV,"545 BURNETT AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0248,021,1487 SACRAMENTO ST,"1487 SACRAMENTO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2826,093,609 BURNETT AV,"609 BURNETT AV,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0248,020,1150 HYDE ST,"1150 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2854,100,160 GARDENSIDE DR,"160 GARDENSIDE DR,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0251,008,1220 PINE ST,"1220 PINE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2854,007,110 GARDENSIDE DR,"110 GARDENSIDE DR,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0251,027,1355 CALIFORNIA ST,"1355 CALIFORNIA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2847,056,160 PORTOLA DR,"160 PORTOLA DR,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0249,014,1476 CALIFORNIA ST,"1476 CALIFORNIA ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,2847,001,100 PORTOLA DR,"100 PORTOLA DR,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",8
small_yellow,0250,003C,1011 HYDE ST,"1011 HYDE ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0248,023,1463 SACRAMENTO ST,"1463 SACRAMENTO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_yellow,0248,024,1455 SACRAMENTO ST,"1455 SACRAMENTO ST,SAN FRANCISCO CA",3,"Permit Submitted, CFC Required by 9/15/19",3
small_red,0665,033,1666 GOUGH ST,"1666 GOUGH ST,SAN FRANCISCO CA",2,Non-Compliant,2
small_red,0548,001B,2235 LARKIN ST,"2235 LARKIN ST,SAN FRANCISCO CA",2,"Work Complete, CFC Issued",3
small_red,1089,035,400 ANZA ST,"400 ANZA ST,SAN FRANCISCO CA",2,"Work Complete, No CFC Issued yet",1
